                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9642,                 7.3589,                 1.2212,                0.00099,                0.04545,                0.00058,                0.00019,                  3.025,                 4.8317,                 1.4594,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 4.7228,                 6.0308,                  2.036,                0.00416,                0.20455,                0.00395,                0.00095,                   2.89,                 4.0744,                 1.3721,             3.3507e-05,             3.3507e-05,             3.3507e-05
                      3,                 4.2309,                 5.3498,                 3.0408,                 0.5313,                0.09091,                0.01324,                0.00303,                   2.99,                 4.0107,                 1.3482,             2.8339e-05,             2.8339e-05,             2.8339e-05
