                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9694,                 7.0024,                0.98063,                      0,                      0,                      0,                      0,                  2.647,                  4.766,                 1.3091,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 3.7718,                  6.041,                 1.5864,                      0,                      0,                      0,                      0,                 2.6502,                 4.7728,                  1.309,             3.3507e-05,             3.3507e-05,             3.3507e-05
                      3,                  4.847,                 6.3684,                 3.1465,                      0,                      0,                      0,                      0,                 2.6485,                 4.7508,                 1.3074,             2.8339e-05,             2.8339e-05,             2.8339e-05
